".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"a001_0_0_max",3901,Inf,Inf,0,0,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a002_0.071_0_max",3901,Inf,Inf,0.071,0.071,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a003_0.143_0_max",3901,Inf,Inf,0.143,0.143,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a004_0.214_0_max",3901,Inf,Inf,0.214,0.214,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a005_0.286_0_max",3901,Inf,Inf,0.286,0.286,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a006_0.357_0_max",3901,Inf,Inf,0.357,0.357,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a007_0.429_0_max",3901,Inf,Inf,0.429,0.429,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a008_0.5_0_max",3901,Inf,Inf,0.5,0.5,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a009_0.571_0_max",3901,Inf,Inf,0.571,0.571,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
"a010_0.643_0_max",3901,Inf,Inf,0.643,0.643,0,0,0,0,0,0,0,0,0.010715578,0.008050516,0.012567546,0.5968,0.7358,0.6956,0.0051,0.0051,0.0051
