".scenario.id",".at","mh.scrninterv.start","mh.txinterv.start","mdd.diag.gen.prob_1","mdd.diag.gen.prob_2","mddscrnuptk.pstat.prob","mddscrnuptk.pind.prob","mdd.txinit.prob.reg_1","mdd.txinit.prob.reg_2","mdd.txinit.prob.reg_3","mdd.txinit.prob.prep_1","mdd.txinit.prob.prep_2","mdd.txinit.prob.prep_3","prep.start.prob_1","prep.start.prob_2","prep.start.prob_3","tx.init.rate_1","tx.init.rate_2","tx.init.rate_3","tx.reinit.partial.rate_1","tx.reinit.partial.rate_2","tx.reinit.partial.rate_3"
"c001_0_0_base",3901,3901,Inf,0,0,0,0,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c002_0.071_0_base",3901,3901,Inf,0.071,0.071,0,0.071,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c003_0.143_0_base",3901,3901,Inf,0.143,0.143,0,0.143,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c004_0.214_0_base",3901,3901,Inf,0.214,0.214,0,0.214,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c005_0.286_0_base",3901,3901,Inf,0.286,0.286,0,0.286,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c006_0.357_0_base",3901,3901,Inf,0.357,0.357,0,0.357,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c007_0.429_0_base",3901,3901,Inf,0.429,0.429,0,0.429,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c008_0.5_0_base",3901,3901,Inf,0.5,0.5,0,0.5,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c009_0.571_0_base",3901,3901,Inf,0.571,0.571,0,0.571,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
"c010_0.643_0_base",3901,3901,Inf,0.643,0.643,0,0.643,0,0,0,0,0,0,0.005357789,0.004025258,0.006283773,0.2984,0.3679,0.3478,0.00255,0.00255,0.00255
