.scenario.id,.at,mh.scrninterv.start,mh.txinterv.start,mdd.diag.gen.prob_1,mdd.diag.gen.prob_2,mddscrnuptk.pstat.prob,mddscrnuptk.pind.prob,mdd.txinit.prob.reg_1,mdd.txinit.prob.reg_2,mdd.txinit.prob.reg_3,mdd.txinit.prob.prep_1,mdd.txinit.prob.prep_2,mdd.txinit.prob.prep_3
c001base,3901,Inf,Inf,0.47,0.45,0,0,0.397,0.336,0.54,0,0,0
c002mdddiagprobgen11,3901,3901,Inf,0.517,0.495,0,0,0.397,0.336,0.54,0,0,0
c003mdddiagprobgen15,3901,3901,Inf,0.705,0.675,0,0,0.397,0.336,0.54,0,0,0
c004mdddiagprobgen20,3901,3901,Inf,0.94,0.9,0,0,0.397,0.336,0.54,0,0,0
c005mdddiagprobgen100,3901,3901,Inf,1,1,0,0,0.397,0.336,0.54,0,0,0
c006mdddiagprobprepuptk10,3901,3901,Inf,0.47,0.45,0,0.1,0.397,0.336,0.54,0,0,0
c007mdddiagprobprepuptk25,3901,3901,Inf,0.47,0.45,0,0.25,0.397,0.336,0.54,0,0,0
c008mdddiagprobprepuptk50,3901,3901,Inf,0.47,0.45,0,0.5,0.397,0.336,0.54,0,0,0
c009mdddiagprobprepuptk75,3901,3901,Inf,0.47,0.45,0,0.75,0.397,0.336,0.54,0,0,0
c010mdddiagprobprepuptk100,3901,3901,Inf,0.47,0.45,0,1,0.397,0.336,0.54,0,0,0
c011mddtxinitprobreg11,3901,3901,Inf,0.47,0.45,0,0,0.4367,0.3696,0.594,0,0,0
c012mddtxinitprobreg15,3901,3901,Inf,0.47,0.45,0,0,0.5955,0.504,0.81,0,0,0
c013mddtxinitprobreg20,3901,3901,Inf,0.47,0.45,0,0,0.794,0.672,1,0,0,0
c014mddtxinitprobreg100,3901,3901,Inf,0.47,0.45,0,0,1,1,1,0,0,0
c015mddtxinitprobinterv10,3901,3901,Inf,0.47,0.45,0,0,0.397,0.336,0.54,0.1,0.1,0.1
c016mddtxinitprobinterv25,3901,3901,Inf,0.47,0.45,0,0,0.397,0.336,0.54,0.25,0.25,0.25
c017mddtxinitprobinterv50,3901,3901,Inf,0.47,0.45,0,0,0.397,0.336,0.54,0.5,0.5,0.5
c018mddtxinitprobinterv75,3901,3901,Inf,0.47,0.45,0,0,0.397,0.336,0.54,0.75,0.75,0.75
c019mddtxinitprobinterv100,3901,3901,Inf,0.47,0.45,0,0,0.397,0.336,0.54,1,1,1
