.scenario.id,.at,mh.scrninterv.start,mh.txinterv.start,mdd.diag.gen.prob_1,mdd.diag.gen.prob_2,mddscrnuptk.pstat.prob,mddscrnuptk.pind.prob,mdd.txinit.prob.reg_1,mdd.txinit.prob.reg_2,mdd.txinit.prob.reg_3,mdd.txinit.prob.prep_1,mdd.txinit.prob.prep_2,mdd.txinit.prob.prep_3
e001base,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,0,0,0
e002mdddiagprobgen11,3901,3901,3901,0.517,0.495,0,0,0.397,0.336,0.54,0,0,0
e003mdddiagprobgen15,3901,3901,3901,0.705,0.675,0,0,0.397,0.336,0.54,0,0,0
e004mdddiagprobgen20,3901,3901,3901,0.94,0.9,0,0,0.397,0.336,0.54,0,0,0
e005mdddiagprobgen100,3901,3901,3901,1,1,0,0,0.397,0.336,0.54,0,0,0
e006mdddiagprobprepuptk10,3901,3901,3901,0.47,0.45,0,0.1,0.397,0.336,0.54,0,0,0
e007mdddiagprobprepuptk25,3901,3901,3901,0.47,0.45,0,0.25,0.397,0.336,0.54,0,0,0
e008mdddiagprobprepuptk50,3901,3901,3901,0.47,0.45,0,0.5,0.397,0.336,0.54,0,0,0
e009mdddiagprobprepuptk75,3901,3901,3901,0.47,0.45,0,0.75,0.397,0.336,0.54,0,0,0
e010mdddiagprobprepuptk100,3901,3901,3901,0.47,0.45,0,1,0.397,0.336,0.54,0,0,0
e011mddtxinitprobreg11,3901,3901,3901,0.47,0.45,0,0,0.4367,0.3696,0.594,0,0,0
e012mddtxinitprobreg15,3901,3901,3901,0.47,0.45,0,0,0.5955,0.504,0.81,0,0,0
e013mddtxinitprobreg20,3901,3901,3901,0.47,0.45,0,0,0.794,0.672,1.08,0,0,0
e014mddtxinitprobreg100,3901,3901,3901,0.47,0.45,0,0,1,1,1,0,0,0
e015mddtxinitprobinterv10,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,0.1,0.1,0.1
e016mddtxinitprobinterv25,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,0.25,0.25,0.25
e017mddtxinitprobinterv50,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,0.5,0.5,0.5
e018mddtxinitprobinterv75,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,0.75,0.75,0.75
e019mddtxinitprobinterv100,3901,3901,3901,0.47,0.45,0,0,0.397,0.336,0.54,1,1,1
